origin_date,target_date,gap_days,model,model_label,common_n,mae_iv,rmse_iv,mse_iv,mean_benchmark_mse_iv,persistence_n,persistence_mse_iv,model_mse_on_persistence_support_iv
2026-07-23,2026-07-24,1,heston,Heston,77,0.005456068853825941,0.006729162342770937,4.528162583536645e-05,0.00016898314049380335,64,1.3556664736457605e-05,2.612021956678635e-05
2026-07-23,2026-07-24,1,bates,Bates,77,0.004506934849677221,0.005428511196460258,2.946873381009438e-05,0.00016898314049380335,64,1.3556664736457605e-05,1.9843841399900406e-05
2026-07-23,2026-07-24,1,hawkes,Full Bates-Hawkes,77,0.003621430434032617,0.0045419955425216605,2.0629723508286636e-05,0.00016898314049380335,64,1.3556664736457605e-05,1.6778282306741587e-05
2026-07-24,2026-07-27,3,bs,Black-Scholes,78,0.012680357256480423,0.017205850386505822,0.0002960412875228226,0.0002996078999674145,50,3.0072766344874297e-05,0.00012600534041461557
2026-07-24,2026-07-27,3,heston,Heston,78,0.005431466293040066,0.006792696447107969,4.614072502255322e-05,0.0002996078999674145,50,3.0072766344874297e-05,3.194193186461795e-05
2026-07-24,2026-07-27,3,bates,Bates,78,0.004241075437164968,0.005847968184616156,3.419873188828278e-05,0.0002996078999674145,50,3.0072766344874297e-05,1.4667868446985529e-05
2026-07-24,2026-07-27,3,hawkes,Full Bates-Hawkes,78,0.004102637761959065,0.005403592095970592,2.9198807539635856e-05,0.0002996078999674145,50,3.0072766344874297e-05,1.5277975962020794e-05
2026-07-27,2026-07-28,1,bs,Black-Scholes,69,0.011234639139419474,0.015180399613764422,0.000230444532433579,0.00023029892473191236,58,2.4530890141916317e-05,0.0001874274439403069
2026-07-27,2026-07-28,1,heston,Heston,69,0.004164131987474171,0.005079009670435942,2.579633923238181e-05,0.00023029892473191236,58,2.4530890141916317e-05,1.8404207088633543e-05
2026-07-27,2026-07-28,1,bates,Bates,69,0.0030438000622070396,0.004253986221356137,1.8096398771487864e-05,0.00023029892473191236,58,2.4530890141916317e-05,1.7176594932350925e-05
2026-07-27,2026-07-28,1,hawkes,Full Bates-Hawkes,69,0.0030042257181314793,0.004153851002649918,1.725447815221573e-05,0.00023029892473191236,58,2.4530890141916317e-05,1.6075699901155855e-05
2026-07-28,2026-07-29,1,bs,Black-Scholes,89,0.013474085640266894,0.0203792255172751,0.0004153128326839565,0.0004025842977808607,65,6.710433085533575e-05,0.00037965152949642696
2026-07-28,2026-07-29,1,heston,Heston,89,0.007666434351335972,0.011055963118388908,0.0001222343204751758,0.0004025842977808607,65,6.710433085533575e-05,9.809199654691261e-05
2026-07-28,2026-07-29,1,bates,Bates,89,0.007702291122953687,0.0100742170830594,0.00010148984983660584,0.0004025842977808607,65,6.710433085533575e-05,9.16238756080186e-05
2026-07-28,2026-07-29,1,hawkes,Full Bates-Hawkes,89,0.007785463838066792,0.010407128097397349,0.00010830831523563735,0.0004025842977808607,65,6.710433085533575e-05,9.98553408787823e-05
2026-07-29,2026-07-30,1,bs,Black-Scholes,67,0.013392072517266394,0.015231449802071797,0.00023199706307303297,0.00024726818946178603,57,4.788544982601428e-05,0.00019127382938821284
2026-07-29,2026-07-30,1,heston,Heston,67,0.008465588333960928,0.009646571999480331,9.305635134115797e-05,0.00024726818946178603,57,4.788544982601428e-05,7.32557161052428e-05
2026-07-29,2026-07-30,1,bates,Bates,67,0.004392217000836618,0.005653459274550874,3.1961601769005294e-05,0.00024726818946178603,57,4.788544982601428e-05,3.5378824926570154e-05
2026-07-29,2026-07-30,1,hawkes,Full Bates-Hawkes,67,0.004562110610082486,0.0059046037659720085,3.486434563313083e-05,0.00024726818946178603,57,4.788544982601428e-05,3.7969383715717256e-05
2026-07-30,2026-07-31,1,bs,Black-Scholes,70,0.009391529778391163,0.010957945935262461,0.00012007657912013511,0.00013143782428531447,48,7.065492766804375e-05,0.00012205643825137021
2026-07-30,2026-07-31,1,heston,Heston,70,0.00853424427150618,0.009870996612603548,9.743657412603073e-05,0.00013143782428531447,48,7.065492766804375e-05,6.977958250722487e-05
2026-07-30,2026-07-31,1,bates,Bates,70,0.0078091222365999045,0.009990638191900948,9.981285148146984e-05,0.00013143782428531447,48,7.065492766804375e-05,8.082486253225983e-05
2026-07-30,2026-07-31,1,hawkes,Full Bates-Hawkes,70,0.007111302374759728,0.008983029388459615,8.069481699392913e-05,0.00013143782428531447,48,7.065492766804375e-05,6.657168653914701e-05
2026-07-31,2026-08-03,3,bs,Black-Scholes,67,0.008973004772598912,0.012098079024241344,0.0001463635160767884,0.00014915671717357834,65,9.634911832078223e-06,0.00010387185778542378
2026-07-31,2026-08-03,3,heston,Heston,67,0.003629704665246685,0.006096339907248744,3.7165360264713624e-05,0.00014915671717357834,65,9.634911832078223e-06,2.076853541538752e-05
2026-07-31,2026-08-03,3,bates,Bates,67,0.0031945818770899165,0.004739673835626263,2.246450806812018e-05,0.00014915671717357834,65,9.634911832078223e-06,1.330633823425619e-05
2026-07-31,2026-08-03,3,hawkes,Full Bates-Hawkes,67,0.003479076954676527,0.004951706293983393,2.451939522187475e-05,0.00014915671717357834,65,9.634911832078223e-06,1.6735399450299343e-05
