Date,gold_cond_vol,silver_cond_vol
2020-12-22,1.0296926458751208,2.102305739027524
2020-12-23,1.0204484714795525,2.245064027730951
2020-12-24,1.0053938291321463,2.2120894521049577
2020-12-28,0.9840206344334589,2.1550696425989773
2020-12-29,0.963639470795987,2.1436365114330114
2020-12-30,0.9433483641078215,2.0834681882646264
2020-12-31,0.93590567548418,2.0560672189392517
2021-01-04,0.9169212182095582,2.0066765148016144
2021-01-05,1.0228631490326003,2.0850366916259526
2021-01-06,0.9990495502738471,2.0482037650775964
2021-01-07,1.0441303471750103,2.013813821027617
2021-01-08,1.0191710807228036,1.9593099011853758
2021-01-11,1.27171278481093,2.541631176668623
2021-01-12,1.2378191120504498,2.485262669397157
2021-01-13,1.2124992806475214,2.4665023738501812
2021-01-14,1.1841809782846453,2.4105701574138045
2021-01-15,1.1525682374891497,2.356295369230287
2021-01-19,1.1582533124612686,2.411865453400027
2021-01-20,1.1428558415961663,2.382461499787272
2021-01-21,1.1699924831374882,2.396712155576505
2021-01-22,1.1389321665750192,2.331427751652511
2021-01-25,1.1239590065264924,2.314356840927502
2021-01-26,1.0945282250513193,2.2503899016978677
2021-01-27,1.0677919738016297,2.188476962835018
2021-01-28,1.0508838356894923,2.138491561483612
2021-01-29,1.0241869614670243,2.435180728063636
2021-02-01,0.9984505635079611,2.378358709386679
2021-02-02,0.9954460694425425,2.8138698916978173
2021-02-03,1.010853824538967,3.40171277213372
2021-02-04,0.9862880543585519,3.3190340599759147
2021-02-05,1.0831778930348863,3.246168937503496
2021-02-08,1.077502593222977,3.179537168347454
2021-02-09,1.0730657495717664,3.1108207104047816
2021-02-10,1.047715344070782,3.0186335408748914
2021-02-11,1.024012091373243,2.934299393280766
2021-02-12,1.0184718910697184,2.846506932038153
2021-02-16,0.9955682076938087,2.7693614660084553
2021-02-17,1.0261161928614182,2.6874690887234993
2021-02-18,1.0343042700879164,2.6113418978650222
2021-02-19,1.0081108712897568,2.5538768230933417
2021-02-22,0.986952218489083,2.4861829610381787
2021-02-23,1.0183572837242625,2.583694855402133
2021-02-24,0.9943635581023998,2.557816265226396
2021-02-25,0.9698810250286498,2.4917763203043646
2021-02-26,1.0414160341968701,2.468460433188614
2021-03-01,1.158980973070862,2.49430496927155
2021-03-02,1.1290136531660562,2.422133182511802
2021-03-03,1.1056927543756474,2.3596743640938667
2021-03-04,1.1067843454830295,2.3444052389059613
2021-03-05,1.1018562176546058,2.383182418895186
2021-03-08,1.073178156993936,2.3226931720717086
2021-03-09,1.0728837430273659,2.256201187688053
2021-03-10,1.1472362063306885,2.30857887257217
2021-03-11,1.122342932744873,2.2577505412302297
2021-03-12,1.0931318691167902,2.1941987667694205
2021-03-15,1.064765690716295,2.1423965233721476
2021-03-16,1.0417627577549795,2.1024959537801613
2021-03-17,1.0154075629719546,2.0553600442063216
2021-03-18,1.0022879335865984,2.0221780499062745
2021-03-19,0.9867830396293024,1.989915374414614
2021-03-22,0.9665942669636028,1.9458484042197584
2021-03-23,0.9437139119558279,1.9259789349351875
2021-03-24,0.936627017279272,2.0048540785524502
2021-03-25,0.9171327502533324,1.9494770547042397
2021-03-26,0.8996299454411308,1.8967088813608073
2021-03-29,0.8806457215907211,1.8460628344305803
2021-03-30,0.903500984999824,1.8252066536831164
2021-03-31,0.966859091358211,1.8994954806076436
2021-04-01,1.0015976552771362,1.904528622010355
2021-04-05,1.016013902004795,1.9095524016974232
2021-04-06,0.9905761360938313,1.858441441785135
2021-04-07,0.9820887573896468,1.8261339067987943
2021-04-08,0.9602984819170959,1.7771813215442136
2021-04-09,0.9666874286091746,1.7544856211091988
2021-04-12,0.9593304947451643,1.7207209827036685
2021-04-13,0.9467362505690892,1.71638723113298
2021-04-14,0.9368964565364795,1.737922174426698
2021-04-15,0.920207965253611,1.6942164166840696
2021-04-16,0.9675141307789781,1.7067124766601296
2021-04-19,0.9530708328074458,1.6633100748158696
2021-04-20,0.932381188052401,1.6238595656352175
2021-04-21,0.9132432229576976,1.5825993602980164
2021-04-22,0.9182347301394796,1.7007282156622063
2021-04-23,0.9092568693214147,1.7212596075952027
2021-04-26,0.8925492933364951,1.6774938992866781
2021-04-27,0.8735636393796863,1.641625767600388
2021-04-28,0.855790097067078,1.6020552980343146
2021-04-29,0.8388247842481622,1.5615812338855692
2021-04-30,0.8261112776577841,1.5292837897967866
2021-05-03,0.8120847312260138,1.5093993377087198
2021-05-04,0.8451753074118148,1.7322338686963257
2021-05-05,0.8438866972386481,1.7262872902872846
2021-05-06,0.8299104146529511,1.6810432689887087
2021-05-07,0.8923343512400045,1.8026474070072394
2021-05-10,0.8939557270944457,1.7570863558552676
2021-05-11,0.8755087528311923,1.7141318906410106
2021-05-12,0.8554388282307658,1.6954513918201704
2021-05-13,0.8674504190307937,1.7355455593734455
2021-05-14,0.8523134407290667,1.6912992338936799
2021-05-17,0.8571645785753506,1.6710294008574065
2021-05-18,0.8766579536107205,1.758557457797458
2021-05-19,0.8574600989915121,1.7124336281491108
2021-05-20,0.8381880908670102,1.7099396741679125
