conId,status,error,expiry,K
814295802,failed,no bars,2028-01-21 00:00:00,370.0
814295954,failed,no bars,2028-01-21 00:00:00,380.0
816976610,failed,no bars,2028-01-21 00:00:00,445.0
816976727,failed,no bars,2028-01-21 00:00:00,455.0
816977363,failed,no bars,2028-01-21 00:00:00,520.0
852303095,failed,no bars,2028-06-16 00:00:00,230.0
852303914,failed,no bars,2028-06-16 00:00:00,295.0
852303969,failed,no bars,2028-06-16 00:00:00,305.0
851891693,failed,no bars,2028-06-16 00:00:00,370.0
851891739,failed,no bars,2028-06-16 00:00:00,380.0
852304959,failed,no bars,2028-06-16 00:00:00,445.0
852305055,failed,no bars,2028-06-16 00:00:00,455.0
851892305,failed,no bars,2028-06-16 00:00:00,520.0
920627530,failed,no bars,2026-10-23 00:00:00,250.0
920627840,failed,no bars,2026-10-23 00:00:00,275.0
920628558,failed,no bars,2026-10-23 00:00:00,325.0
827395802,failed,no bars,2026-10-16 00:00:00,470.0
838423538,failed,no bars,2026-11-20 00:00:00,515.0
910573046,failed,no bars,2027-02-19 00:00:00,235.0
891787732,failed,no bars,2027-03-31 00:00:00,280.0
910573843,failed,no bars,2027-02-19 00:00:00,310.0
870310786,failed,no bars,2027-03-31 00:00:00,355.0
910574644,failed,no bars,2027-02-19 00:00:00,385.0
910575627,failed,no bars,2027-02-19 00:00:00,460.0
870313175,failed,no bars,2027-03-31 00:00:00,505.0
800378295,failed,no bars,2027-06-17 00:00:00,260.0
800378563,failed,no bars,2027-06-17 00:00:00,290.0
800378758,failed,no bars,2027-06-17 00:00:00,310.0
897588815,failed,no bars,2027-06-30 00:00:00,353.0
897590586,failed,no bars,2027-06-30 00:00:00,391.0
800380022,failed,no bars,2027-06-17 00:00:00,440.0
800824505,failed,no bars,2027-06-17 00:00:00,460.0
817345776,failed,no bars,2027-06-17 00:00:00,515.0
887869030,failed,no bars,2027-09-17 00:00:00,260.0
887869078,failed,no bars,2027-09-17 00:00:00,265.0
887869857,failed,no bars,2027-09-17 00:00:00,335.0
887869910,failed,no bars,2027-09-17 00:00:00,340.0
887870628,failed,no bars,2027-09-17 00:00:00,410.0
887870681,failed,no bars,2027-09-17 00:00:00,415.0
887871425,failed,no bars,2027-09-17 00:00:00,485.0
887871479,failed,no bars,2027-09-17 00:00:00,490.0
816976203,failed,no bars,2028-01-21 00:00:00,260.0
814294599,failed,no bars,2028-01-21 00:00:00,265.0
814295409,failed,no bars,2028-01-21 00:00:00,335.0
814295468,failed,no bars,2028-01-21 00:00:00,340.0
816976248,failed,no bars,2028-01-21 00:00:00,410.0
816976281,failed,no bars,2028-01-21 00:00:00,415.0
816977037,failed,no bars,2028-01-21 00:00:00,485.0
816977097,failed,no bars,2028-01-21 00:00:00,490.0
852303468,failed,no bars,2028-06-16 00:00:00,260.0
852303530,failed,no bars,2028-06-16 00:00:00,265.0
852304174,failed,no bars,2028-06-16 00:00:00,335.0
851891588,failed,no bars,2028-06-16 00:00:00,340.0
851891862,failed,no bars,2028-06-16 00:00:00,410.0
852304743,failed,no bars,2028-06-16 00:00:00,415.0
852305269,failed,no bars,2028-06-16 00:00:00,485.0
851892185,failed,no bars,2028-06-16 00:00:00,490.0
827394797,failed,no bars,2026-10-16 00:00:00,245.0
827013312,failed,no bars,2026-10-16 00:00:00,280.0
827013756,failed,no bars,2026-10-16 00:00:00,320.0
920632291,failed,no bars,2026-10-23 00:00:00,475.0
827396208,failed,no bars,2026-10-16 00:00:00,505.0
869074914,failed,no bars,2027-03-19 00:00:00,235.0
910573654,failed,no bars,2027-02-19 00:00:00,290.0
870310641,failed,no bars,2027-03-31 00:00:00,320.0
910574441,failed,no bars,2027-02-19 00:00:00,365.0
870311231,failed,no bars,2027-03-31 00:00:00,393.0
870312946,failed,no bars,2027-03-31 00:00:00,470.0
870313200,failed,no bars,2027-03-31 00:00:00,510.0
897587242,failed,no bars,2027-06-30 00:00:00,260.0
897587522,failed,no bars,2027-06-30 00:00:00,290.0
897587699,failed,no bars,2027-06-30 00:00:00,310.0
800379157,failed,no bars,2027-06-17 00:00:00,360.0
897590862,failed,no bars,2027-06-30 00:00:00,396.0
897592020,failed,no bars,2027-06-30 00:00:00,440.0
897592219,failed,no bars,2027-06-30 00:00:00,460.0
914634329,failed,no bars,2027-06-30 00:00:00,515.0
887868705,failed,no bars,2027-09-17 00:00:00,225.0
887869445,failed,no bars,2027-09-17 00:00:00,300.0
887870280,failed,no bars,2027-09-17 00:00:00,375.0
887871065,failed,no bars,2027-09-17 00:00:00,450.0
816975854,failed,no bars,2028-01-21 00:00:00,225.0
814295037,failed,no bars,2028-01-21 00:00:00,300.0
814295869,failed,no bars,2028-01-21 00:00:00,375.0
816976653,failed,no bars,2028-01-21 00:00:00,450.0
867090401,failed,no bars,2028-06-16 00:00:00,225.0
851891382,failed,no bars,2028-06-16 00:00:00,300.0
852304452,failed,no bars,2028-06-16 00:00:00,375.0
851892032,failed,no bars,2028-06-16 00:00:00,450.0
827394744,failed,no bars,2026-10-16 00:00:00,240.0
827013372,failed,no bars,2026-10-16 00:00:00,285.0
827013701,failed,no bars,2026-10-16 00:00:00,315.0
827395727,failed,no bars,2026-10-16 00:00:00,465.0
838423289,failed,no bars,2026-11-20 00:00:00,495.0
910573260,failed,no bars,2027-02-19 00:00:00,255.0
891787781,failed,no bars,2027-03-31 00:00:00,285.0
848877267,failed,no bars,2027-03-19 00:00:00,310.0
870310797,failed,no bars,2027-03-31 00:00:00,360.0
870311251,failed,no bars,2027-03-31 00:00:00,394.0
848878676,failed,no bars,2027-03-19 00:00:00,460.0
910576241,failed,no bars,2027-02-19 00:00:00,515.0
800378014,failed,no bars,2027-06-17 00:00:00,225.0
800378355,failed,no bars,2027-06-17 00:00:00,270.0
800378900,failed,no bars,2027-06-17 00:00:00,330.0
897589019,failed,no bars,2027-06-30 00:00:00,359.0
897590531,failed,no bars,2027-06-30 00:00:00,390.0
800379764,failed,no bars,2027-06-17 00:00:00,420.0
806090421,failed,no bars,2027-06-17 00:00:00,480.0
813159589,failed,no bars,2027-06-17 00:00:00,495.0
920627375,failed,no bars,2026-10-23 00:00:00,235.0
838420967,failed,no bars,2026-11-20 00:00:00,270.0
920628355,failed,no bars,2026-10-23 00:00:00,310.0
920632101,failed,no bars,2026-10-23 00:00:00,460.0
827396269,failed,no bars,2026-10-16 00:00:00,510.0
868230644,failed,no bars,2027-03-19 00:00:00,255.0
851615349,failed,no bars,2027-03-19 00:00:00,290.0
870310629,failed,no bars,2027-03-31 00:00:00,315.0
848877783,failed,no bars,2027-03-19 00:00:00,365.0
870311204,failed,no bars,2027-03-31 00:00:00,392.0
870312917,failed,no bars,2027-03-31 00:00:00,465.0
848879063,failed,no bars,2027-03-19 00:00:00,515.0
897587333,failed,no bars,2027-06-30 00:00:00,270.0
897587927,failed,no bars,2027-06-30 00:00:00,330.0
897588752,failed,no bars,2027-06-30 00:00:00,352.0
897590904,failed,no bars,2027-06-30 00:00:00,397.0
897591811,failed,no bars,2027-06-30 00:00:00,420.0
897592325,failed,no bars,2027-06-30 00:00:00,480.0
909953410,failed,no bars,2027-06-30 00:00:00,495.0
869073965,failed,no bars,2026-12-18 00:00:00,245.0
843266400,failed,no bars,2026-12-18 00:00:00,280.0
843266781,failed,no bars,2026-12-18 00:00:00,320.0
843268302,failed,no bars,2026-12-18 00:00:00,470.0
843268693,failed,no bars,2026-12-18 00:00:00,505.0
910572984,failed,no bars,2027-02-19 00:00:00,230.0
891787692,failed,no bars,2027-03-31 00:00:00,275.0
870310661,failed,no bars,2027-03-31 00:00:00,325.0
870310761,failed,no bars,2027-03-31 00:00:00,350.0
870311279,failed,no bars,2027-03-31 00:00:00,395.0
870312889,failed,no bars,2027-03-31 00:00:00,464.0
870313137,failed,no bars,2027-03-31 00:00:00,500.0
800378628,failed,no bars,2027-06-17 00:00:00,295.0
800378708,failed,no bars,2027-06-17 00:00:00,305.0
897589052,failed,no bars,2027-06-30 00:00:00,360.0
897590468,failed,no bars,2027-06-30 00:00:00,389.0
800380075,failed,no bars,2027-06-17 00:00:00,445.0
800824420,failed,no bars,2027-06-17 00:00:00,455.0
806090637,failed,no bars,2027-06-17 00:00:00,520.0
838420808,failed,no bars,2026-11-20 00:00:00,255.0
827013231,failed,no bars,2026-10-16 00:00:00,275.0
838421537,failed,no bars,2026-11-20 00:00:00,330.0
843268254,failed,no bars,2026-12-18 00:00:00,465.0
827396143,failed,no bars,2026-10-16 00:00:00,500.0
869074847,failed,no bars,2027-03-19 00:00:00,230.0
910573443,failed,no bars,2027-02-19 00:00:00,270.0
870310614,failed,no bars,2027-03-31 00:00:00,310.0
910574226,failed,no bars,2027-02-19 00:00:00,345.0
