percentile,GBM / BS,Heston,Bates,Full Bates--Hawkes
47,3.4409445824765803,3.1696543598393374,2.9722326255598066,2.4284070545288152
48,4.748028958439793,4.404050786605054,4.271407052163466,4.157480631507797
49,6.598447708827489,5.607481050568845,5.548835968264818,5.182486281126544
50,8.160033737059148,7.311854649505767,7.032817005250647,6.826109406722369
51,9.444732546887433,8.575021844291348,8.446530824228644,8.13467416526703
52,10.771006878516191,10.453005470625788,9.715205494797647,9.429949404950142
53,12.082687143692686,11.919016003081785,11.451415604565408,10.635138079318885
54,13.5072610112103,13.441905991087886,12.947254372346807,11.833121663574339
55,15.144121562356966,15.324951439497141,14.737186255556345,13.291458154435349
56,16.547965584949477,17.146247487611046,16.1667450611077,15.346902891002756
57,18.23426789678588,18.522471004965535,17.51261093074806,16.48614153806188
58,19.566035595369765,20.1820902043578,19.20393156941095,18.005922892646375
59,21.338055721492047,21.833717751068228,21.097226147113442,19.781187699319652
60,22.75635395617965,23.855098963667732,22.666530252007,21.073513542845234
61,24.33307150480275,25.904532651833783,24.316269521490742,22.949463011007047
62,26.645035656014535,27.530868281547345,25.686979091080758,24.553094660346044
63,28.278331028772822,29.195665374434572,27.515892298917308,26.31585971074703
64,30.640456290130935,31.013422478712958,29.125493949592716,28.51924112043308
65,32.25768774945583,33.41023178709236,31.22310405074355,30.94840260483287
66,34.11924005060116,35.20775209950334,32.861468784102456,32.2789867148795
67,35.594127089543974,37.260650720664685,35.01873748927887,34.11009869846718
68,37.44919999166159,39.11679512736733,37.349924137793444,35.65097832693771
69,40.046850564899486,41.411418803746244,39.10579745630474,37.87840507589165
70,41.872397270645386,43.32644655700537,41.28877504284195,40.24634968272118
71,44.23784141338803,45.26165357963793,43.64920700952754,42.15496249700279
72,46.348127995661095,47.05795014613697,45.527533874580584,44.24352058722867
73,48.7836819541408,49.30455083085271,47.37887307985006,46.208306576285686
74,51.354461462659145,51.954761183473046,49.27802723581474,47.846113724421464
75,53.52004981300431,54.26503217557147,52.04117399950056,50.47540989091522
76,57.06216379140627,56.84207906940236,54.712420136185145,53.034127354401946
77,60.30235681427313,59.089353451661694,57.67185746542822,55.386426578565235
78,63.28953515349123,62.453632369688016,59.95582585592324,58.32132362411802
79,67.00434035873468,64.98576541408413,63.0778084289328,61.37324966844331
80,70.61986088514149,67.25222144793956,65.90593400439278,63.860550274959714
81,73.37232447390849,70.56340559002717,69.25622428277356,67.55634287334793
82,76.35343176460681,73.44280981850568,72.22213871551911,72.72774872865033
83,80.91869554440383,77.10196986551648,74.99807836263875,76.24518886660415
84,85.48533012655386,81.66895039853729,78.42817232695583,80.46355939071591
85,89.2507695284761,85.36252437453253,84.62551779060038,85.733657490074
86,94.18377053724832,89.06157992816895,88.82111105060308,90.25118128101087
87,99.06662060297252,94.66353598568931,92.97503396331088,95.13711549998672
88,105.2077115150787,99.47779298312477,97.51867903994389,99.49986713217427
89,110.7491757719033,104.526059510043,103.56577979280152,105.04396684819675
90,115.60927981043315,112.6311046372241,110.57585456215453,110.02806496360036
91,120.09236726426741,118.85264974060917,117.85906691373052,119.11307744212432
92,127.55792386108017,127.23641699724502,126.60072812697337,128.09035681969192
93,136.5288559072761,136.60922910219787,135.12906024958735,137.85274685041608
94,145.9312853389671,142.80880220274867,146.63788320643394,148.71345987246147
95,159.59980907713586,151.7162140734928,159.3479291836158,163.1863265200524
96,175.14100274838967,167.58638829464846,174.9515863134663,181.1909292603809
97,201.90704594935167,178.95662006097024,191.37566917670526,204.60407901846784
98,227.5545626806036,206.19075646282909,222.89755057119754,239.314738278181
99,279.9410983869836,247.51454014527366,285.7656221734264,301.550907330616
100,533.7426284885548,550.8710743516572,871.6465158469457,966.5126833386025
