date,Black-Scholes vs Prevailing mean,Black-Scholes vs Random walk,Black-Scholes vs Heston,Black-Scholes vs Bates,Black-Scholes vs Full Bates-Hawkes,Heston vs Prevailing mean,Heston vs Random walk,Heston vs Black-Scholes,Heston vs Bates,Heston vs Full Bates-Hawkes,Bates vs Prevailing mean,Bates vs Random walk,Bates vs Black-Scholes,Bates vs Heston,Bates vs Full Bates-Hawkes,Full Bates-Hawkes vs Prevailing mean,Full Bates-Hawkes vs Random walk,Full Bates-Hawkes vs Black-Scholes,Full Bates-Hawkes vs Heston,Full Bates-Hawkes vs Bates
2026-05-18 00:00:00+00:00,1725.3236402741536,-19.88091100179744,11.225899321923665,11.697534538749743,13.063608856121256,1714.0977409522304,-31.106810323721096,-11.225899321923665,0.47163521682608,1.837709534197584,1713.626105735404,-31.578445540547193,-11.697534538749743,-0.47163521682608,1.3660743173715053,1712.2600314180324,-32.94451985791869,-13.063608856121256,-1.837709534197584,-1.3660743173715053
2026-05-19 00:00:00+00:00,1727.389829366782,-18.2805076481394,12.085391462984028,12.034390880018737,13.323878814529218,1715.3044379037983,-30.36589911112342,-12.085391462984028,-0.05100058296528731,1.2384873515451833,1715.3554384867634,-30.31489852815815,-12.034390880018737,0.05100058296528731,1.289487934510472,1714.0659505522528,-31.604386462668614,-13.323878814529218,-1.2384873515451833,-1.289487934510472
2026-05-20 00:00:00+00:00,1727.9195597945193,-19.206169613506987,11.621766960249717,12.618004527620096,14.05875271489733,1716.29779283427,-30.82793657375669,-11.621766960249717,0.9962375673703823,2.4369857546476075,1715.3015552668996,-31.824174141127095,-12.618004527620096,-0.9962375673703823,1.4407481872772263,1713.8608070796222,-33.26492232840431,-14.05875271489733,-2.4369857546476075,-1.4407481872772263
2026-05-21 00:00:00+00:00,1729.423150767256,-19.593169725885687,11.538444841367953,12.664041626050452,14.106186732890189,1717.8847059258885,-31.131614567253628,-11.538444841367953,1.1255967846825017,2.56774189152223,1716.759109141206,-32.25721135193615,-12.664041626050452,-1.1255967846825017,1.4421451068397293,1715.316964034366,-33.69935645877587,-14.106186732890189,-2.56774189152223,-1.4421451068397293
2026-05-22 00:00:00+00:00,1730.0009465209105,-20.20232094948149,11.108142340620756,12.666361932733887,14.146383134628138,1718.8928041802903,-31.31046329010223,-11.108142340620756,1.5582195921131337,3.0382407940073777,1717.3345845881772,-32.86868288221538,-12.666361932733887,-1.5582195921131337,1.4800212018942447,1715.8545633862827,-34.34870408410962,-14.146383134628138,-3.0382407940073777,-1.4800212018942447
2026-05-26 00:00:00+00:00,1729.0774835420436,-21.42596086374489,10.121269750734402,12.61175800900162,14.187336474643937,1718.95621379131,-31.54723061447928,-10.121269750734402,2.4904882582672214,4.06606672390953,1716.4657255330426,-34.03771887274652,-12.61175800900162,-2.4904882582672214,1.575578465642309,1714.8901470674002,-35.61329733838882,-14.187336474643937,-4.06606672390953,-1.575578465642309
2026-05-27 00:00:00+00:00,1729.1946519515964,-21.33692016159017,10.483229371867303,12.359799996724645,13.872919566483063,1718.7114225797295,-31.82014953345746,-10.483229371867303,1.8765706248573444,3.3896901946157554,1716.8348519548722,-33.69672015831482,-12.359799996724645,-1.8765706248573444,1.5131195697584114,1715.3217323851138,-35.20983972807323,-13.872919566483063,-3.3896901946157554,-1.5131195697584114
2026-05-28 00:00:00+00:00,1730.699018597156,-21.54879129940751,10.158268989878616,12.335217037593301,13.831213153863517,1720.540749607278,-31.707060289286115,-10.158268989878616,2.1769480477146876,3.672944163984897,1718.3638015595634,-33.884008337000814,-12.335217037593301,-2.1769480477146876,1.4959961162702098,1716.867805443293,-35.38000445327102,-13.831213153863517,-3.672944163984897,-1.4959961162702098
2026-05-29 00:00:00+00:00,1732.948881695757,-22.016874798613223,9.862783828118296,12.460912120694886,13.88485737968311,1723.0860978676394,-31.879658626731505,-9.862783828118296,2.5981282925765927,4.02207355156481,1720.4879695750628,-34.47778691930811,-12.460912120694886,-2.5981282925765927,1.4239452589882169,1719.0640243160744,-35.90173217829632,-13.88485737968311,-4.02207355156481,-1.4239452589882169
2026-06-01 00:00:00+00:00,1732.3018506935916,-22.948216742442636,9.647998062446236,12.436946588306297,13.937297930448514,1722.653852631146,-32.59621480488886,-9.647998062446236,2.7889485258600653,4.289299868002274,1719.8649041052859,-35.38516333074893,-12.436946588306297,-2.7889485258600653,1.5003513421422094,1718.3645527631436,-36.88551467289114,-13.937297930448514,-4.289299868002274,-1.5003513421422094
