time,poisson_intensity,hawkes_intensity,poisson_cumulative_jumps,hawkes_cumulative_jumps
2.1702838063439063,1.4208333333333332,0.6364243154606324,3,1
2.1869782971619363,1.4208333333333332,0.6342166465659246,3,1
2.2036727879799667,1.4208333333333332,0.6320653715451247,3,1
2.2203672787979967,1.4208333333333332,0.6299690498429835,3,1
2.2370617696160267,1.4208333333333332,0.6279262777025655,3,1
2.2537562604340566,1.4208333333333332,0.6259356872252515,3,1
2.2704507512520866,1.4208333333333332,0.6239959454547563,4,1
2.2871452420701166,1.4208333333333332,0.622105753484542,4,1
2.3038397328881466,1.4208333333333332,0.6202638455880334,4,1
2.320534223706177,1.4208333333333332,0.6184689883710512,4,1
2.337228714524207,1.4208333333333332,0.6167199799458966,4,1
2.353923205342237,1.4208333333333332,0.6150156491265315,4,1
2.370617696160267,1.4208333333333332,0.6133548546443206,4,1
2.387312186978297,1.4208333333333332,0.6117364843838039,4,1
2.404006677796327,1.4208333333333332,0.6101594546379934,4,1
2.4207011686143574,1.4208333333333332,0.6086227093826909,4,1
2.4373956594323873,1.4208333333333332,0.6071252195693454,4,1
2.4540901502504173,1.4208333333333332,0.6056659824359713,4,1
2.4707846410684473,1.4208333333333332,0.6042440208356712,4,1
2.4874791318864773,1.4208333333333332,0.6028583825823102,4,1
2.5041736227045073,1.4208333333333332,0.6015081398129049,4,1
2.5208681135225373,1.4208333333333332,0.6001923883662994,4,1
2.5375626043405677,1.4208333333333332,0.598910247177714,4,1
2.5542570951585977,1.4208333333333332,0.5976608576887583,4,1
2.5709515859766277,1.4208333333333332,0.5964433832725161,4,1
2.5876460767946576,1.4208333333333332,0.5952570086733163,4,1
2.6043405676126876,1.4208333333333332,0.5941009394608143,4,1
2.6210350584307176,1.4208333333333332,0.5929744014980187,4,1
2.6377295492487476,1.4208333333333332,0.591876640422907,4,1
2.654424040066778,1.4208333333333332,0.5908069211432833,4,1
2.671118530884808,1.4208333333333332,0.5897645273445398,4,1
2.687813021702838,1.4208333333333332,0.5887487610099914,4,1
2.704507512520868,1.4208333333333332,0.5877589419534646,4,1
2.721202003338898,1.4208333333333332,0.5867944073638246,4,1
2.737896494156928,1.4208333333333332,0.5858545113611385,4,1
2.754590984974958,1.4208333333333332,0.5849386245641759,4,1
2.7712854757929883,1.4208333333333332,0.5840461336689562,4,1
2.7879799666110183,1.4208333333333332,0.583176441038064,4,1
2.8046744574290483,1.4208333333333332,0.582328964300453,4,1
2.8213689482470783,1.4208333333333332,0.5815031359614743,4,1
2.8380634390651083,1.4208333333333332,0.5806984030228655,4,1
2.8547579298831383,1.4208333333333332,0.5799142266124471,4,1
2.8714524207011687,1.4208333333333332,0.5791500816232789,4,1
2.8881469115191987,1.4208333333333332,0.5784054563620326,4,1
2.9048414023372287,1.4208333333333332,0.5776798522063479,4,1
2.9215358931552586,1.4208333333333332,0.5769727832709405,4,1
2.9382303839732886,1.4208333333333332,0.5762837760822394,4,1
2.9549248747913186,1.4208333333333332,0.5756123692613354,4,1
2.9716193656093486,1.4208333333333332,0.5749581132150289,4,1
2.988313856427379,1.4208333333333332,0.5743205698347691,4,1
3.005008347245409,1.4208333333333332,0.5736993122032841,4,1
3.021702838063439,1.4208333333333332,0.5730939243087049,4,1
3.038397328881469,1.4208333333333332,0.5725040007659921,4,1
3.055091819699499,1.4208333333333332,0.5719291465454783,4,1
3.071786310517529,1.4208333333333332,0.571368976708345,4,1
3.088480801335559,1.4208333333333332,0.5708231161488565,4,1
3.1051752921535893,1.4208333333333332,0.5702911993431786,4,1
3.1218697829716193,1.4208333333333332,0.5697728701046132,4,1
3.1385642737896493,1.4208333333333332,0.5692677813450854,4,1
3.1552587646076793,1.4208333333333332,0.5687755948427237,4,1
3.1719532554257093,1.4208333333333332,0.5682959810153767,4,1
3.1886477462437393,1.4208333333333332,0.5678286186999157,4,1
3.2053422370617692,1.4208333333333332,0.5673731949371745,4,1
3.2220367278797997,1.4208333333333332,0.5669294047623832,4,1
3.2387312186978297,1.4208333333333332,0.5664969510009548,4,1
3.2554257095158596,1.4208333333333332,0.5660755440694887,4,1
3.2721202003338896,1.4208333333333332,0.5656649017818575,4,1
3.2888146911519196,1.4208333333333332,0.565264749160247,4,1
3.3055091819699496,1.4208333333333332,0.5648748182510234,4,1
3.32220367278798,1.4208333333333332,0.5644948479453034,4,1
3.33889816360601,1.4208333333333332,0.5641245838041088,4,1
3.35559265442404,1.4208333333333332,0.5637637778879864,4,1
3.37228714524207,1.4208333333333332,0.5634121885909811,4,1
3.3889816360601,1.4208333333333332,0.563069580478849,4,1
3.40567612687813,1.4208333333333332,0.562735724131405,4,1
3.42237061769616,1.4208333333333332,0.5624103959888953,4,1
3.4390651085141903,1.4208333333333332,0.562093378202296,4,1
3.4557595993322203,1.4208333333333332,0.5617844584874352,4,1
3.4724540901502503,1.4208333333333332,0.5614834299828411,4,1
3.4891485809682803,1.4208333333333332,0.561190091111222,4,1
3.5058430717863103,1.4208333333333332,0.5609042454444843,4,1
3.5225375626043403,1.4208333333333332,0.5606257015721986,4,1
3.5392320534223702,1.4208333333333332,0.5603542729734257,4,1
3.5559265442404007,1.4208333333333332,0.5600897778918168,4,1
3.5726210350584306,1.4208333333333332,0.5598320392139048,4,1
3.5893155258764606,1.4208333333333332,0.5595808843505033,4,1
3.6060100166944906,1.4208333333333332,0.5593361451211364,4,1
3.6227045075125206,1.4208333333333332,0.5590976576414202,4,1
3.6393989983305506,1.4208333333333332,0.5588652622133208,4,1
3.656093489148581,1.4208333333333332,0.5586388032182167,4,1
3.672787979966611,1.4208333333333332,0.5584181290126912,4,1
3.689482470784641,1.4208333333333332,0.5582030918269884,4,1
3.706176961602671,1.4208333333333332,0.5579935476660615,4,1
3.722871452420701,1.4208333333333332,0.5577893562131507,4,1
3.739565943238731,1.4208333333333332,0.5575903807358221,4,1
3.756260434056761,1.4208333333333332,0.5573964879944084,4,1
3.7729549248747913,1.4208333333333332,0.5572075481527875,4,1
3.7896494156928213,1.4208333333333332,0.5570234346914403,4,1
3.8063439065108513,1.4208333333333332,0.5568440243227303,5,1
3.8230383973288813,1.4208333333333332,0.5566691969083459,5,1
3.8397328881469113,1.4208333333333332,0.5564988353788533,5,1
3.8564273789649413,1.4208333333333332,0.5563328256553021,5,1
3.8731218697829712,1.4208333333333332,0.556171056572836,5,1
3.8898163606010017,1.4208333333333332,0.5560134198062534,5,1
3.9065108514190316,1.4208333333333332,0.5558598097974691,5,1
3.9232053422370616,1.4208333333333332,0.5557101236848303,5,1
3.9398998330550916,1.4208333333333332,0.555564261234237,5,1
3.9565943238731216,1.4208333333333332,0.5554221247720228,5,1
3.9732888146911516,1.4208333333333332,0.5552836191195497,5,1
3.9899833055091816,1.4208333333333332,0.5551486515294735,5,1
4.006677796327212,1.4208333333333332,0.5550171316236376,5,1
4.023372287145242,1.4208333333333332,0.5548889713325538,5,1
4.040066777963272,1.4208333333333332,0.5547640848364274,5,1
4.056761268781302,1.4208333333333332,0.5546423885076909,5,1
4.073455759599332,1.4208333333333332,0.5545238008550036,5,1
4.090150250417362,1.4208333333333332,0.5544082424686836,5,1
4.106844741235392,1.4208333333333332,0.554295635967532,5,1
4.123539232053422,1.4208333333333332,0.5541859059470168,5,1
4.140233722871452,1.4208333333333332,0.5540789789287796,5,1
4.156928213689482,1.4208333333333332,0.5539747833114322,5,1
4.173622704507513,1.4208333333333332,0.5538732493226112,5,1
4.190317195325543,1.4208333333333332,0.5537743089722549,5,1
4.207011686143573,1.4208333333333332,0.5536778960070766,5,1
4.223706176961603,1.4208333333333332,0.5535839458661987,5,1
4.240400667779633,1.4208333333333332,0.5534923956379215,5,1
4.257095158597663,1.4208333333333332,0.553403184017595,5,1
4.273789649415693,1.4208333333333332,0.5533162512665681,5,1
4.290484140233723,1.4208333333333332,0.5532315391721857,5,1
4.307178631051753,1.4208333333333332,0.5531489910088079,5,1
4.323873121869783,1.4208333333333332,0.5530685514998247,5,1
4.3405676126878125,1.4208333333333332,0.5529901667806416,6,1
4.3572621035058425,1.4208333333333332,0.55291378436261,6,1
4.3739565943238725,1.4208333333333332,0.5528393530978792,6,1
4.390651085141903,1.4208333333333332,0.552766823145147,6,1
4.407345575959933,1.4208333333333332,0.5526961459362835,6,1
4.424040066777963,1.4208333333333332,0.5526272741438093,6,1
4.440734557595993,1.4208333333333332,0.5525601616492035,6,1
4.457429048414023,1.4208333333333332,0.5524947635120214,6,1
4.474123539232053,1.4208333333333332,0.5524310359398007,6,1
4.490818030050083,1.4208333333333332,0.5523689362587374,6,1
4.507512520868113,1.4208333333333332,0.5523084228851101,6,1
4.524207011686143,1.4208333333333332,0.5522494552974337,6,1
4.540901502504173,1.4208333333333332,0.5521919940093263,6,1
4.557595993322203,1.4208333333333332,0.5521360005430663,6,1
4.574290484140233,1.4208333333333332,0.5520814374038286,6,1
4.590984974958263,1.4208333333333332,0.5520282680545752,6,1
4.607679465776293,1.4208333333333332,0.55197645689159,6,1
4.624373956594324,1.4208333333333332,0.5519259692206373,6,1
4.641068447412354,1.4208333333333332,0.5518767712337292,6,1
4.657762938230384,1.4208333333333332,0.5518288299864876,6,1
4.674457429048414,1.4208333333333332,0.5517821133760829,6,1
4.691151919866444,1.4208333333333332,0.5517365901197371,6,1
4.707846410684474,1.4208333333333332,0.5516922297337766,6,1
4.724540901502504,1.4208333333333332,0.551649002513219,6,1
4.741235392320534,1.4208333333333332,0.5516068795118816,6,1
4.757929883138564,1.4208333333333332,0.5515658325229987,6,1
4.774624373956594,1.4208333333333332,0.5515258340603332,6,1
4.791318864774624,1.4208333333333332,0.5514868573397711,6,1
4.808013355592654,1.4208333333333332,0.5514488762613861,6,1
4.824707846410684,1.4208333333333332,0.5514118653919624,6,1
4.841402337228715,1.4208333333333332,0.5513757999479639,6,1
4.858096828046745,1.4208333333333332,0.5513406557789384,6,1
4.874791318864775,1.4208333333333332,0.5513064093513458,6,1
4.891485809682805,1.4208333333333332,0.551273037732799,6,1
4.908180300500835,1.4208333333333332,0.5512405185767083,6,1
4.924874791318865,1.4208333333333332,1.4906310346694625,6,2
4.941569282136895,1.4208333333333332,1.4666030528964107,6,2
4.958263772954925,1.4208333333333332,1.4431888547290521,6,2
4.974958263772955,1.4208333333333332,1.4203727613509889,6,2
4.991652754590985,1.4208333333333332,1.398139494453888,6,2
5.0083472454090145,1.4208333333333332,1.3764741660066884,6,2
5.0250417362270445,1.4208333333333332,1.3553622682861493,6,2
5.0417362270450745,1.4208333333333332,1.3347896641620642,6,2
5.0584307178631045,1.4208333333333332,1.3147425776306363,6,2
5.075125208681135,1.4208333333333332,1.2952075845896684,6,2
5.091819699499165,1.4208333333333332,1.2761716038494066,6,2
