expiry_iso,expiry_ymd,T,right,K,conId,localSymbol,symbol,bid,ask,mid,last,close,model_price,price_used,price_source,has_any_quote,impliedVol,delta,gamma,vega,theta,undPrice_model,volume,openInterest
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,600.0,829497625,GLD   260515C00600000,GLD,-1.0,-1.0,,0.37,0.43,,0.43,close,True,,,,,,,24.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,620.0,829497745,GLD   260515C00620000,GLD,-1.0,-1.0,,-1.0,0.33,,0.33,close,True,,,,,,,0.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,645.0,848451722,GLD   260515C00645000,GLD,-1.0,-1.0,,-1.0,0.29,,0.29,close,True,,,,,,,1.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,665.0,850106329,GLD   260515C00665000,GLD,-1.0,-1.0,,-1.0,0.26,,0.26,close,True,,,,,,,0.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,685.0,850106418,GLD   260515C00685000,GLD,-1.0,-1.0,,-1.0,0.23,,0.23,close,True,,,,,,,0.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,705.0,850931352,GLD   260515C00705000,GLD,-1.0,-1.0,,-1.0,0.2,,0.2,close,True,,,,,,,0.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,725.0,850931420,GLD   260515C00725000,GLD,-1.0,-1.0,,0.11,0.17,,0.17,close,True,,,,,,,8.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,745.0,850931496,GLD   260515C00745000,GLD,-1.0,-1.0,,-1.0,0.14,,0.14,close,True,,,,,,,0.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,C,780.0,849673029,GLD   260515C00780000,GLD,-1.0,-1.0,,0.12,0.09,,0.09,close,True,,,,,,,1.0,0.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,230.0,780427287,GLD   260515P00230000,GLD,-1.0,-1.0,,0.15,0.14,,0.14,close,True,,,,,,,22.0,123.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,255.0,780427377,GLD   260515P00255000,GLD,-1.0,-1.0,,-1.0,0.19,,0.19,close,True,,,,,,,0.0,854.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,315.0,780427620,GLD   260515P00315000,GLD,-1.0,-1.0,,-1.0,0.58,,0.58,close,True,,,,,,,0.0,707.0
