percentile,GBM / BS,Heston,Bates,Full Bates--Hawkes
43,-5.295557094875138,3.146843682121631,-35.0105674076019,-5.597626531624737
44,-4.251353200200495,4.126191221956619,-33.08765541041964,-4.048883630482444
45,-3.174313280497762,5.214056892128044,-31.517528500463406,-2.715799909119543
46,-1.533598118395713,6.678377565838778,-29.969269589676195,-1.4233619162481927
47,0.3104080127654523,7.824888139643242,-28.368728273948875,0.17001626068793746
48,1.692659917502314,9.127998537487873,-26.499469247589076,1.6226725472616848
49,3.6521402958947466,10.168702595755315,-24.78740435050752,2.944673800153012
50,5.3081476867072315,11.428747257642835,-23.587413884494374,4.272416059617701
51,6.672139636601891,12.920494287391124,-22.2107710645917,5.7641497940213355
52,8.081783829655828,13.851605908267294,-20.46536230110392,7.043297473780263
53,9.477409655485868,15.319800492399544,-18.1452970942862,8.640021100875854
54,10.994817892459366,16.631612538039626,-15.84901602266465,10.517848313618835
55,12.740460127827985,17.738258807924048,-13.432508133061377,11.764981924493682
56,14.23937988567239,19.394277516814107,-11.275822743994766,13.391208669124461
57,16.042032306640575,20.697768398123372,-9.418020372161907,14.885822621641722
58,17.467324291689522,21.9292717623253,-6.845822492742812,16.76645398517878
59,19.365997269077287,23.376410353837244,-4.855431113396125,18.347342534809172
60,20.887465282234107,25.22103438662604,-2.239747211670151,20.02293596069853
61,22.58073146571212,26.838816671347544,-0.021741162146883295,21.694509481462003
62,25.067078851389667,28.066077421639555,2.922900787306328,23.611980668674214
63,26.82603365032747,29.639379572449926,5.202045199900254,25.411713458864185
64,29.373448417045775,31.612612927932513,8.772128131000267,27.548413685514355
65,31.119933626015595,32.73330199064625,11.549385640535903,29.161389560355637
66,33.13264230779893,34.88351430873678,14.890324488673407,30.698369295483573
67,34.729073460835906,36.56249042295607,17.830927066946746,32.909102030787096
68,36.73923921250195,38.05668533726684,21.81942850417474,34.43094054459494
69,39.55815808919941,39.81425675023141,25.096606920970235,37.11098052582989
70,41.54202499350844,41.61241183786048,28.74390012574971,39.40188751846987
71,44.11602597528121,43.38503619839103,32.11746064187726,41.441864056216374
72,46.41557573644521,45.316818857808585,36.45114538564083,43.493942917059016
73,49.07327073994976,47.3553470645168,40.07291181901736,46.100574399993576
74,51.88277102301567,49.9259540013979,43.60702733753058,49.185704693373424
75,54.25278873253433,51.688643967839496,47.97623989885217,52.26532997233397
76,58.13575028698465,53.71559383840403,51.82999704143705,54.5668883898028
77,61.69462232638376,55.9261113900527,57.82103939068412,57.09465200041573
78,64.98134293405504,58.056149758262926,62.3617702016092,59.611407928788054
79,69.07619025185399,60.426911666383866,67.25188127574283,62.229354149695865
80,73.06946752265637,62.79263657234835,73.4693145471905,65.58106424483763
81,76.11462748553416,65.48371343765564,79.63995336048005,69.06746540250273
82,79.41764882805128,68.22351893177964,87.16876347926627,73.14991185607771
83,84.48560280351971,71.29111383994211,93.9554107706089,76.47616392132105
84,89.56660009719411,74.35434679178874,100.23191997656534,81.43669430870816
85,93.76462628105585,77.76074842804002,108.09111834482715,86.14826817477339
86,99.27570921179948,81.3849000209658,119.27679782655443,91.75191894177361
